unit_name,offer_number,Offer,b,t_s,t_e,E_min,E_max,PC_min,PC_max,PD_min,PD_max,RU_c,RD_c,RU_d,RD_d,Efficiency,Phi_c,Phi_d,E0,E_end
Battery 1,1,100,10,1,10,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 1,2,100,10,13,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 3,1,120,99,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 4,1,100,69,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 5,1,120,49,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 6,1,100,56,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 7,1,120,76,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 8,1,100,77,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 9,1,120,99,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 10,1,100,69,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 12,1,120,26,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 13,1,100,69,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 14,1,120,49,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 15,1,100,56,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 16,1,120,76,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 17,1,100,77,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 18,1,120,99,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 19,1,100,69,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 20,1,120,100,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 21,1,100,91,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 22,1,120,100,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 23,1,100,100,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 26,1,120,100,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 27,1,100,110,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 28,1,120,110,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
Battery 29,1,100,21,1,24,0,400,0,100,0,100,999,999,999,999,0.9,9,10,200,200
